code,display,definition,synonyms
DEMO-TM2-001,Demo Acid Digestive Disorder,Demonstration target concept for acid-related digestive discomfort,"acidity|acid digestive"
DEMO-TM2-002,Demo Febrile Disorder,Demonstration target concept for fever-like systemic illness,"fever|febrile"
DEMO-TM2-003,Demo Traditional Metabolic Concept,Demonstration target concept for metabolic residue,"traditional|metabolic residue"
DEMO-TM2-004,Demo Appetite Disorder,Demonstration target concept for loss of appetite,"appetite|loss of appetite"
DEMO-TM2-005,Demo Cough Disorder,Demonstration target concept for cough,"cough|respiratory"
DEMO-TM2-006,Demo Breathing Disorder,Demonstration target concept for difficult breathing,"breathlessness|dyspnea"
DEMO-TM2-007,Demo Indigestion Disorder,Demonstration target concept for indigestion,"indigestion|dyspepsia"
DEMO-TM2-008,Demo Diarrhoeal Disorder,Demonstration candidate target for frequent loose stools,"diarrhea|loose stools"
DEMO-TM2-009,Demo Vomiting Disorder,Demonstration candidate target for vomiting,"vomiting|emesis"
DEMO-TM2-010,Demo Anaemia-like Disorder,Demonstration candidate target for pallor and weakness,"pallor|weakness"
DEMO-TM2-011,Demo Sleep Disorder,Demonstration candidate target for disturbed sleep,"insomnia|sleeplessness"
DEMO-TM2-012,Demo Joint Disorder,Demonstration candidate target for joint pain and stiffness,"joint pain|stiffness"
DEMO-TM2-013,Demo Headache Disorder,Demonstration distractor concept for headache,"headache|head pain"
DEMO-TM2-014,Demo Skin Disorder,Demonstration distractor concept for skin symptoms,"skin|rash"
DEMO-TM2-015,Demo Urinary Disorder,Demonstration distractor concept for urinary symptoms,"urinary|dysuria"
DEMO-TM2-016,Demo Eye Disorder,Demonstration distractor concept for eye symptoms,"eye|vision"
DEMO-TM2-017,Demo Ear Disorder,Demonstration distractor concept for ear symptoms,"ear|hearing"
DEMO-TM2-018,Demo Fatigue Disorder,Demonstration distractor concept for fatigue,"fatigue|tiredness"
DEMO-TM2-019,Demo Inflammatory Disorder,Demonstration distractor concept for inflammation,"inflammation|swelling"
DEMO-TM2-020,Demo Pain Disorder,Demonstration distractor concept for non-specific pain,"pain|ache"
